127.0.0.1 - - [22/Nov/2021:11:33:03 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Nov/2021:11:33:05 +0900] "GET /MyWebSite/module/reservation.jsp HTTP/1.1" 200 3077
0:0:0:0:0:0:0:1 - - [22/Nov/2021:11:33:05 +0900] "GET /MyWebSite/module/img/c1.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [22/Nov/2021:11:33:05 +0900] "GET /MyWebSite/module/img/c2.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [22/Nov/2021:11:33:05 +0900] "GET /MyWebSite/module/img/c4.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [22/Nov/2021:11:33:05 +0900] "GET /MyWebSite/module/img/c3.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [22/Nov/2021:11:33:05 +0900] "GET /MyWebSite/module/img/rarrow.png HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [22/Nov/2021:11:33:05 +0900] "GET /MyWebSite/module/img/osaka.jpg HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [22/Nov/2021:11:33:06 +0900] "GET /MyWebSite/module/img/hawaii.jpg HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [22/Nov/2021:11:33:06 +0900] "GET /MyWebSite/module/img/brazil.jpg HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [22/Nov/2021:11:33:06 +0900] "GET /MyWebSite/module/img/triple.png HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [22/Nov/2021:11:33:06 +0900] "GET /MyWebSite/module/img/hongkong.jpg HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [22/Nov/2021:11:33:06 +0900] "GET /MyWebSite/module/img/larrow.png HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [22/Nov/2021:11:33:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Nov/2021:11:43:59 +0900] "GET /MyWebSite/index.jsp HTTP/1.1" 200 7180
0:0:0:0:0:0:0:1 - - [22/Nov/2021:11:44:00 +0900] "GET /MyWebSite/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2021:11:44:00 +0900] "GET /MyWebSite/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2021:11:44:00 +0900] "GET /MyWebSite/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2021:11:44:00 +0900] "GET /MyWebSite/img/member.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2021:11:44:00 +0900] "GET /MyWebSite/img/c2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2021:11:44:00 +0900] "GET /MyWebSite/img/c1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2021:11:44:00 +0900] "GET /MyWebSite/img/c3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2021:11:44:00 +0900] "GET /MyWebSite/img/rarrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2021:11:44:00 +0900] "GET /MyWebSite/img/c4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2021:11:44:00 +0900] "GET /MyWebSite/img/larrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2021:11:44:00 +0900] "GET /MyWebSite/img/hongkong.jpg HTTP/1.1" 304 -
