127.0.0.1 - - [09/Oct/2021:14:33:11 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Oct/2021:14:33:17 +0900] "GET /WebProject/ch06/05main.jsp HTTP/1.1" 200 395
0:0:0:0:0:0:0:1 - - [09/Oct/2021:14:33:17 +0900] "GET /WebProject/ch06/05style.css HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [09/Oct/2021:14:33:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Oct/2021:14:33:23 +0900] "GET /WebProject/ch06/05sub.jsp HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [09/Oct/2021:14:33:24 +0900] "GET /WebProject/ch06/img/kaka.gif HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [09/Oct/2021:14:34:41 +0900] "GET /WebProject/ch06/05sub.jsp HTTP/1.1" 200 436
0:0:0:0:0:0:0:1 - - [09/Oct/2021:14:34:41 +0900] "GET /WebProject/ch06/img/kaka.gif HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [09/Oct/2021:14:34:41 +0900] "GET /WebProject/ch06/05style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2021:14:35:29 +0900] "GET /WebProject/ch06/05sub.jsp HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - - [09/Oct/2021:14:35:29 +0900] "GET /WebProject/ch06/img/kaka.gif HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [09/Oct/2021:14:35:29 +0900] "GET /WebProject/ch06/05style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2021:14:35:30 +0900] "GET /WebProject/ch06/05sub.jsp HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - - [09/Oct/2021:14:35:31 +0900] "GET /WebProject/ch06/img/kaka.gif HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [09/Oct/2021:14:35:45 +0900] "GET /WebProject/ch06/05main.jsp HTTP/1.1" 200 409
0:0:0:0:0:0:0:1 - - [09/Oct/2021:14:38:46 +0900] "GET /WebProject/ch06/05main2.jsp HTTP/1.1" 200 403
0:0:0:0:0:0:0:1 - - [09/Oct/2021:14:38:46 +0900] "GET /WebProject/ch06/05style.css HTTP/1.1" 304 -
