0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:03:17 +0900] "GET /MyWebSite/management/manager_list.jsp HTTP/1.1" 200 6515
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:03:18 +0900] "GET /MyWebSite/cart/cart_control.jsp?action=alist HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:03:18 +0900] "GET /MyWebSite/cart/cart_list.jsp HTTP/1.1" 200 5139
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:03:21 +0900] "GET /MyWebSite/management/manager_list.jsp HTTP/1.1" 200 6515
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:03:25 +0900] "GET /MyWebSite/index.jsp?CONTENTPAGE=information.jsp HTTP/1.1" 200 8118
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:03:26 +0900] "GET /MyWebSite/css/information.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:03:26 +0900] "GET /MyWebSite/img/thebay.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:03:26 +0900] "GET /MyWebSite/img/gukbab.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:03:26 +0900] "GET /MyWebSite/img/sujung.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:03:26 +0900] "GET /MyWebSite/img/bridge.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:03:26 +0900] "GET /MyWebSite/img/pizza.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:03:26 +0900] "GET /MyWebSite/img/magnate.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:03:29 +0900] "GET /MyWebSite/cart/cart_control.jsp?action=search&product_no=P004 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:03:29 +0900] "GET /MyWebSite/cart/cart_control.jsp?action=insert HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:03:29 +0900] "GET /MyWebSite/cart/cart_control.jsp?action=list HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:03:29 +0900] "GET /MyWebSite/index.jsp?CONTENTPAGE=myList.jsp HTTP/1.1" 200 7364
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:03:29 +0900] "GET /MyWebSite/css/list.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:03:36 +0900] "GET /MyWebSite/reservation/reservation_control.jsp?action=myPage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:03:36 +0900] "GET /MyWebSite/index.jsp?CONTENTPAGE=myPage.jsp HTTP/1.1" 200 6505
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:03:36 +0900] "GET /MyWebSite/img/ellisia.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:03:40 +0900] "GET /MyWebSite/index.jsp?CONTENTPAGE=myReview.jsp HTTP/1.1" 200 6631
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:03:41 +0900] "GET /MyWebSite/index.jsp?CONTENTPAGE=myReview.jsp HTTP/1.1" 200 6631
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:03:43 +0900] "GET /MyWebSite/index.jsp?CONTENTPAGE=myPage.jsp HTTP/1.1" 200 6505
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:03:46 +0900] "GET /MyWebSite/index.jsp HTTP/1.1" 200 7681
0:0:0:0:0:0:0:1 - - [08/Dec/2021:22:34:14 +0900] "GET /MyWebSite/reservation/reservation_control.jsp?action=search HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:22:34:14 +0900] "GET /MyWebSite/index.jsp?CONTENTPAGE=loginForm.jsp HTTP/1.1" 200 6258
0:0:0:0:0:0:0:1 - - [08/Dec/2021:22:34:16 +0900] "GET /MyWebSite/index.jsp?CONTENTPAGE=loginForm.jsp HTTP/1.1" 200 6178
0:0:0:0:0:0:0:1 - - [08/Dec/2021:22:34:21 +0900] "GET /MyWebSite/module/loginProcess.jsp?member_id=lemon&member_pwd=LEMON HTTP/1.1" 302 -
