127.0.0.1 - - [19/Jan/2022:21:53:42 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jan/2022:21:53:49 +0900] "GET /MovieProject/index.jsp HTTP/1.1" 200 11924
0:0:0:0:0:0:0:1 - - [19/Jan/2022:21:53:49 +0900] "GET /MovieProject/img/logo.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [19/Jan/2022:21:53:50 +0900] "GET /MovieProject/img/loginPassword.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:21:53:50 +0900] "GET /MovieProject/img/loginJoin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:21:53:50 +0900] "GET /MovieProject/img/loginMember.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:21:53:50 +0900] "GET /MovieProject/img/loginCustomer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:21:53:50 +0900] "GET /MovieProject/img/c2.jpg HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [19/Jan/2022:21:53:50 +0900] "GET /MovieProject/img/larrow.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [19/Jan/2022:21:53:50 +0900] "GET /MovieProject/img/c4.jpg HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [19/Jan/2022:21:53:50 +0900] "GET /MovieProject/img/c1.jpg HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [19/Jan/2022:21:53:50 +0900] "GET /MovieProject/img/c3.jpg HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [19/Jan/2022:21:53:50 +0900] "GET /MovieProject/img/rarrow.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [19/Jan/2022:21:53:50 +0900] "GET /MovieProject/img/movie1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:21:53:50 +0900] "GET /MovieProject/img/eggGoldenegggreat.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:21:53:50 +0900] "GET /MovieProject/img/movie4.jpg HTTP/1.1" 304 -
