127.0.0.1 - - [26/Oct/2021:11:19:35 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:19:39 +0900] "GET /WebProject/ch06/03page_control.jsp HTTP/1.1" 200 502
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:19:40 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:19:45 +0900] "POST /WebProject/ch06/03forward_action2.jsp HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:19:53 +0900] "POST /WebProject/ch06/03response_sendRedirect.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:19:54 +0900] "GET /WebProject/ch06/03page_control_end.jsp HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:24:34 +0900] "GET /WebProject/ch06-2/01index.jsp HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:24:44 +0900] "POST /WebProject/ch06-2/01second.jsp HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:24:48 +0900] "POST /WebProject/ch06-2/01third.jsp HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:25:01 +0900] "GET /WebProject/ch06-2/01index.jsp HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:25:01 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:25:02 +0900] "POST /WebProject/ch06-2/01second.jsp HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:25:04 +0900] "POST /WebProject/ch06-2/01third.jsp HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:25:11 +0900] "POST /WebProject/ch06-2/01second.jsp HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:25:20 +0900] "GET /WebProject/ch06-2/01second.jsp HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:25:23 +0900] "POST /WebProject/ch06-2/01third.jsp HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:29:06 +0900] "GET /WebProject/ch06-2/02loginForm.jsp HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:29:12 +0900] "GET /WebProject/ch06-2/02loginProcess.jsp?id=dong&pwd=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:29:12 +0900] "GET /WebProject/ch06-2/02loginForm.jsp HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:29:15 +0900] "GET /WebProject/ch06-2/02logoutProcess.jsp? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:29:15 +0900] "GET /WebProject/ch06-2/02loginForm.jsp HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:29:19 +0900] "GET /WebProject/ch06-2/02loginProcess.jsp?id=abc&pwd=1 HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:34:25 +0900] "GET /WebProject/ch06-2/02-1_loginForm.jsp HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:34:27 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:34:34 +0900] "POST /WebProject/ch06-2/02-1_loginProcess.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:34:34 +0900] "GET /WebProject/ch06-2/02-1_loginForm.jsp HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:34:37 +0900] "POST /WebProject/ch06-2/02-1_logoutProcess.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:34:37 +0900] "GET /WebProject/ch06-2/02-1_loginForm.jsp HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:34:39 +0900] "POST /WebProject/ch06-2/02-1_loginProcess.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:34:39 +0900] "GET /WebProject/ch06-2/02-1_loginForm.jsp HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:34:40 +0900] "POST /WebProject/ch06-2/02-1_logoutProcess.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:34:40 +0900] "GET /WebProject/ch06-2/02-1_loginForm.jsp HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:34:42 +0900] "POST /WebProject/ch06-2/02-1_loginProcess.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:34:42 +0900] "GET /WebProject/ch06-2/02-1_loginForm.jsp HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:34:44 +0900] "POST /WebProject/ch06-2/02-1_logoutProcess.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:34:44 +0900] "GET /WebProject/ch06-2/02-1_loginForm.jsp HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:34:48 +0900] "POST /WebProject/ch06-2/02-1_loginProcess.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:34:48 +0900] "GET /WebProject/ch06-2/02-1_loginForm.jsp HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:38:27 +0900] "GET /WebProject/ch06-2/03login.jsp HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:38:28 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:39:44 +0900] "POST /WebProject/ch06-2/03selProduct.jsp HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:39:49 +0900] "GET /WebProject/ch06-2/03checkOut.jsp HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:39:53 +0900] "GET /WebProject/ch06-2/03checkOut.jsp HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:40:01 +0900] "POST /WebProject/ch06-2/03add.jsp HTTP/1.1" 200 227
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:40:08 +0900] "GET /WebProject/ch06-2/03checkOut.jsp HTTP/1.1" 200 238
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:40:13 +0900] "POST /WebProject/ch06-2/03add.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:40:17 +0900] "GET /WebProject/ch06-2/03checkOut.jsp HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:40:25 +0900] "POST /WebProject/ch06-2/03add.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [26/Oct/2021:11:40:37 +0900] "GET /WebProject/ch06-2/03checkOut.jsp HTTP/1.1" 200 262
